NID_ID,STATE,DAM_NAME,OTHER_NAME,HAZARD,EAP,STATE_NAME,COUNTY,NEAR_CITY,DIST_CITY,RIVER,YEAR_COMPL,OWNER,OWN_TYPE,INSP_DATE
OH02558,OH,"CINCINNATI SEMICONDUCTOR LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,WARREN,MORROW,NULL,"TR-LITTLE MIAMI RIVER",NULL,"SUMITOMO SITIX SILICON, INC.",PRIVATE,"1994-06-01 00:00:00"
OH02559,OH,"CLASSICWAY FARM LAKE DAM",NULL,LOW,NULL,OHIO,WARREN,MORROW,NULL,"WHITAKERS RUN",NULL,"NEW GROUP, INC.",PRIVATE,"1994-08-04 00:00:00"
OH02564,OH,"FENWICK HOME COMPANY LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,WARREN,SENIOR,NULL,"TR-STONY RUN",1969,"FENWICK HOME COMPANY, INC.",PRIVATE,"1994-08-25 00:00:00"
OH02568,OH,"GOODRICH LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,WARREN,"SOUTH LEBANON",NULL,"TR-DRY RUN",NULL,"VICTOR & EVA GOODRICH",PRIVATE,"1992-04-09 00:00:00"
OH02573,OH,"HALL LAKE DAM",NULL,LOW,N/R,OHIO,WARREN,OREGONIA,NULL,"TR-CAESAR CREEK",1967,"CHARLES HALL",PRIVATE,NULL
OH02577,OH,"KENDRICK LAKE DAM",NULL,LOW,N/R,OHIO,WARREN,SRPINGBORO,NULL,"TR-CLEAR CREEK",1970,"HERSCHEL R. KENDRICK",PRIVATE,NULL
OH02582,OH,"LEBANON CORRECTIONAL INSTITUTE LAKE DAM",NULL,LOW,N/R,OHIO,WARREN,"SOUTH LEBANON",NULL,"TR-LITTLE MUDDY CREEK",1970,"ODRC, DIVISION OF CORRECTIONS",STATE,NULL
OH02585,OH,"WELLING LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,WARREN,"SOUTH LEBANON",NULL,"TR-HALLS CREEK",1955,"RICHARD E. WELLING",PRIVATE,"1991-12-10 00:00:00"
OH02588,OH,"MCDANIEL LAKE DAM",NULL,HIGH,NULL,OHIO,WARREN,LOVELAND,NULL,"TR-ERTEL RUN",1957,"GLADYS MCDANIEL",PRIVATE,"1989-09-06 00:00:00"
OH02591,OH,"NISBET LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,WARREN,LOVELAND,NULL,"TR-ERTEL RUN",1973,"NISBET FARM",PRIVATE,"1989-09-14 00:00:00"
OH02593,OH,"POWELL LAKE DAM",NULL,LOW,N/R,OHIO,WARREN,SENIOR,NULL,"TR-STONY RUN",1969,"MILEY POWELL",PRIVATE,NULL
OH02597,OH,"ROHRER LAKE DAM",NULL,LOW,NULL,OHIO,WARREN,LOVELAND,NULL,"TR-GROG RUN",NULL,"JED ROHRER",PRIVATE,"1994-06-01 00:00:00"
